Title,Price,Price/M2,AreaM2,Topology,Bedrooms,Condition,Location,AgencyName,ListingID,ImageURL,DetailsPage
"Apartamento T1 Venda em Eixo e Eirol,Aveiro",69 000 €,1 327 €/m²,52 m²,T1,1,Usado,"Eixo e Eirol, Aveiro",Gafinvest,15735867,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InVyNmR4ZGNsc3F5dTEtRUNPU1lTVEVNIiwidyI6W3siZm4iOiI0amFmcGw5aDNmZ3QtQVBUIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.xiUKnxdlAuRv64lDaxE0w34N38mhWfNfyAqXb1J1v6o/image;s=1280x1024;q=80,https://www.imovirtual.com/pt/anuncio/apartamento-t1-venda-em-eixo-e-eirol-aveiro-ID141Cj.html
"Apartamento T0+2 Implex, Novo no centro da cidade de Aveiro",135 800 €,2 612 €/m²,52 m²,T1,1,Novo,"Rua Doutor Francisco do Vale Guimarães - Glória, Glória e Vera Cruz, Aveiro",KW Área Aveiro,15817436,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InR3MHlsdzJkOGE0aTEtRUNPU1lTVEVNIiwidyI6W3siZm4iOiI0amFmcGw5aDNmZ3QtQVBUIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.raNsHaYKwo7zz4Ut-9lyGm4EbcBUQEZB5xxahROoIiQ/image;s=1280x1024;q=80,https://www.imovirtual.com/pt/anuncio/apartamento-t0-2-implex-novo-no-centro-da-cidade-de-aveiro-ID14mPV.html
"Apartamento T1 Venda em Glória e Vera Cruz,Aveiro",145 000 €,3 222 €/m²,45 m²,T1,1,Em construção,"Glória e Vera Cruz, Aveiro",Artte Consultores,14977557,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjFkN3Ztc29ib2s2by1FQ09TWVNURU0iLCJ3IjpbeyJmbiI6IjRqYWZwbDloM2ZndC1BUFQiLCJzIjoiMTQiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.h2urJyzzV6kpa70V5gcgNN08OvMjgEbEur1cW1nesEI/image;s=1280x1024;q=80,https://www.imovirtual.com/pt/anuncio/apartamento-t1-venda-em-gloria-e-vera-cruz-aveiro-ID10Qlw.html
Apartamento T1 Moderno no Campus da Universidade,152 000 €,3 304 €/m²,46 m²,T1,1,Usado,"Glória e Vera Cruz, Aveiro",Arcada Imobiliária - Bairro do Liceu,15413527,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InhoYWhmOWxjZXdyODEtRUNPU1lTVEVNIiwidyI6W3siZm4iOiI0amFmcGw5aDNmZ3QtQVBUIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.Yk4mydb8-ijPKqxQqAG34-3duB0Ggz_eIcg1iUo1dAE/image;s=1280x1024;q=80,https://www.imovirtual.com/pt/anuncio/apartamento-t1-moderno-no-campus-da-universidade-ID12FLh.html
"Apartamento T1, Barrocas - Centro de Aveiro",165 000 €,3 173 €/m²,52 m²,T1,1,Em construção,"Glória e Vera Cruz, Aveiro","Protecnico, Lda.",12191473,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijg4dXp6Y2p5cjlnMS1BUFQiLCJ3IjpbeyJmbiI6IjRqYWZwbDloM2ZndC1BUFQiLCJzIjoiMTQiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.MCJrbG6aQ2YYwcP8eg8e3lID-zzsM_4SGKmKoopEd40/image;s=1280x1024;q=80,https://www.imovirtual.com/pt/anuncio/apartamento-t1-barrocas-centro-de-aveiro-IDP9yF.html
T1 | Centro da cidade |  Garagem,175 000 €,2 919 €/m²,"59,95 m²",T1,2,Em construção,"Glória e Vera Cruz, Aveiro",LitoralCasa,15244711,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjE3OXN5ZTd2NGp1ZjItRUNPU1lTVEVNIiwidyI6W3siZm4iOiI0amFmcGw5aDNmZ3QtQVBUIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.l0OSQxKFXCk072k8sECAGrA_uVhliaQ_5lKcyq7jdjA/image;s=1280x1024;q=80,https://www.imovirtual.com/pt/anuncio/t1-centro-da-cidade-garagem-ID11XQr.html
T1 triplex incrivel na Beira-mar,210 000 €,2 258 €/m²,93 m²,T1,,Novo,"Esgueira, Aveiro",Imofacil - Sociedade Imobiliaria,15343452,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InNoNWlrMGxzeDVrYjMtRUNPU1lTVEVNIiwidyI6W3siZm4iOiI0amFmcGw5aDNmZ3QtQVBUIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.rJZ6c3dfWhiok6SNfoqqsZmA13EOZ0IFwD4PJcJrhbs/image;s=1280x1024;q=80,https://www.imovirtual.com/pt/anuncio/t1-triplex-incrivel-na-beira-mar-ID12nx2.html
Apartamento T1 - Empreendimento Icon Vitória Régia,177 000 €,2 723 €/m²,65 m²,T1,,Em construção,"Glória e Vera Cruz, Aveiro",PREDIMED PORTUGAL,15789722,,https://www.imovirtual.com/pt/anuncio/apartamento-t1-empreendimento-icon-vitoria-regia-ID14fCV.html
T1 de Luxo a iniciar brevemente construção em pleno coraç...,Preço sob consulta,,58 m²,T1,1,Em construção,"Rua José Estevão, Cacia, Aveiro",PurusHomes,15429821,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImdwajRkN3R4Nm8zZzEtRUNPU1lTVEVNIiwidyI6W3siZm4iOiI0amFmcGw5aDNmZ3QtQVBUIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.vNF5mA_QSwcsC99VvYG67V9Ji32VAflEMODDIF4wey8/image;s=1280x1024;q=80,https://www.imovirtual.com/pt/anuncio/t1-de-luxo-a-iniciar-brevemente-construcao-em-pleno-corac-ID12K05.html
T1 de Luxo a iniciar brevemente construção em pleno coraç...,Preço sob consulta,,60 m²,T1,1,Em construção,"Rua José Estevão, Cacia, Aveiro",PurusHomes,15429806,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InJkcnUxazZnMmcydy1FQ09TWVNURU0iLCJ3IjpbeyJmbiI6IjRqYWZwbDloM2ZndC1BUFQiLCJzIjoiMTQiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.-fXBd57JllZmX50rkpmT9imxGGvcZmkBlvEjUS5QaL8/image;s=1280x1024;q=80,https://www.imovirtual.com/pt/anuncio/t1-de-luxo-a-iniciar-brevemente-construcao-em-pleno-corac-ID12JZQ.html
"Apartamento T1 com jardim, estacionamento e arrecadação, ...",480 000 €,8 727 €/m²,55 m²,T1,1,Usado,"Oliveirinha, Aveiro",Quintela + Penalva | Knight Frank,15583080,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imxuanp2NnBua2dlNTItRUNPU1lTVEVNIiwidyI6W3siZm4iOiI0amFmcGw5aDNmZ3QtQVBUIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.8M6XHQSyeG3XKaeQAJvkEt5fT6CYY5MDpzTd_ubUD_I/image;s=1280x1024;q=80,https://www.imovirtual.com/pt/anuncio/apartamento-t1-com-jardim-estacionamento-e-arrecadacao-ID13nS0.html
Apartamento T1+1 Novo no Canal de São Roque,260 000 €,4 459 €/m²,"58,31 m²",T1,,Novo,"Glória e Vera Cruz, Aveiro",Imofacil - Sociedade Imobiliaria,15606398,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im11YmRvNGw5Y3YwdDItRUNPU1lTVEVNIiwidyI6W3siZm4iOiI0amFmcGw5aDNmZ3QtQVBUIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.fn_Nk-W8WrfzUEizjzlbWPpALpHcetU65FUc_okpqPY/image;s=1280x1024;q=80,https://www.imovirtual.com/pt/anuncio/apartamento-t1-1-novo-no-canal-de-sao-roque-ID13tV6.html
T1+1 centro de Aveiro,260 000 €,3 595 €/m²,"72,32 m²",T1,,Em construção,"Glória e Vera Cruz, Aveiro","Difesus Mediação Imobiliaria e Serviços, Unipessoal, Lda",15977337,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjZxdWRvcXB2a2tscS1FQ09TWVNURU0iLCJ3IjpbeyJmbiI6IjRqYWZwbDloM2ZndC1BUFQiLCJzIjoiMTQiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.qZrAWR0xx6hpefEqZFO8XePsMKUT4aMZdut1o1ek77Y/image;s=1280x1024;q=80,https://www.imovirtual.com/pt/anuncio/t1-1-centro-de-aveiro-ID152qZ.html
Apartamento T1+1 em Aveiro,260 000 €,4 727 €/m²,55 m²,T1,,Em construção,"Glória e Vera Cruz, Aveiro",DS Aveiro Centro,15899424,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InhxMWh0aGs0MGxjbjEtRUNPU1lTVEVNIiwidyI6W3siZm4iOiI0amFmcGw5aDNmZ3QtQVBUIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.NN_FxU4x8saSaesyGnjrkUMgvMCkQcpuxDKd5RPhxsM/image;s=1280x1024;q=80,https://www.imovirtual.com/pt/anuncio/apartamento-t1-1-em-aveiro-ID14Iak.html
Apartamento T1+1,260 000 €,4 727 €/m²,55 m²,T1,1,Em construção,"Glória e Vera Cruz, Aveiro",Exitcasa,15936792,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InMxa3c3NWFsbWVwajEtRUNPU1lTVEVNIiwidyI6W3siZm4iOiI0amFmcGw5aDNmZ3QtQVBUIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.yVCjWgAbCHuGW_Q_mhvgpMwzerdJoqCuNjBzukJlf_M/image;s=1280x1024;q=80,https://www.imovirtual.com/pt/anuncio/apartamento-t1-1-ID14RT2.html
T1+1 Moderno + Vistas Canal Ria - Aveiro Centro | Bairro ...,260 000 €,4 727 €/m²,55 m²,T1,1,Novo,"Glória e Vera Cruz, Aveiro",A CASA DA JOANA,15987717,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InExempmbng2NmVjcTItRUNPU1lTVEVNIiwidyI6W3siZm4iOiI0amFmcGw5aDNmZ3QtQVBUIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.AsRNIQYNbifvZN-RyP0iBwVNVFjpCgUYts4qfzn-KV0/image;s=1280x1024;q=80,https://www.imovirtual.com/pt/anuncio/t1-1-moderno-vistas-canal-ria-aveiro-centro-bairro-ID1558p.html
"Apartamento T1+1 Venda em Glória e Vera Cruz,Aveiro",260 000 €,4 727 €/m²,55 m²,T1,1,Em construção,"Glória e Vera Cruz, Aveiro",Imobiz,15513703,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IndyM29tdHk3MHFwLUVDT1NZU1RFTSIsInciOlt7ImZuIjoiNGphZnBsOWgzZmd0LUFQVCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.APCPJ-qsW45dt1oQ-0ElYKJxhuucRvlhRhFHX4m140E/image;s=1280x1024;q=80,https://www.imovirtual.com/pt/anuncio/apartamento-t1-1-venda-em-gloria-e-vera-cruz-aveiro-ID135P1.html
T1+1 NOVO - Aveiro Centro,260 000 €,4 727 €/m²,55 m²,T1,1,Em construção,"Glória e Vera Cruz, Aveiro",NextHouse,15569989,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ind4OWVrbWdhcGQ2djItRUNPU1lTVEVNIiwidyI6W3siZm4iOiI0amFmcGw5aDNmZ3QtQVBUIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.tDb0ZVfXmeY9X--l9s84JO6BezrHE8xLyPowJANxRAU/image;s=1280x1024;q=80,https://www.imovirtual.com/pt/anuncio/t1-1-novo-aveiro-centro-ID13ksR.html
Apartamento T1 + 1 em frente ao canal de S. Roque - Ria de Aveiro,260 000 €,4 727 €/m²,55 m²,T1,1,Em construção,"Cais das Falcoeiras, Glória e Vera Cruz, Aveiro",KW Área Aveiro,15710195,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImVvMjR4bmFuanI4ODEtRUNPU1lTVEVNIiwidyI6W3siZm4iOiI0amFmcGw5aDNmZ3QtQVBUIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.ufKaJGLp5Eu29yMmowXue-aiQeEDA2xQDBh6tCE_ANg/image;s=1280x1024;q=80,https://www.imovirtual.com/pt/anuncio/apartamento-t1-1-em-frente-ao-canal-de-s-roque-ria-de-aveiro-ID13UVf.html
"T1 empreendimento ""Casa Guida"" - Tavira",260 000 €,2 889 €/m²,90 m²,T1,1,Novo,"Esgueira, Aveiro",MaisConsultores,15045314,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjJrdjliOXR3OW5zaTEtQVBUIiwidyI6W3siZm4iOiI0amFmcGw5aDNmZ3QtQVBUIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.flCi0zLCMXk1Smf42D0CulI0M5CnKy5Bo8oTcALMIbI/image;s=1280x1024;q=80,https://www.imovirtual.com/pt/anuncio/t1-empreendimento-casa-guida-tavira-ID117Ym.html
Apartamento - 55 m² - T1,260 000 €,4 727 €/m²,55 m²,T1,1,,"Glória e Vera Cruz, Aveiro",IAD Portugal,15724041,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImlidTdydmduZjhscDEtRUNPU1lTVEVNIiwidyI6W3siZm4iOiI0amFmcGw5aDNmZ3QtQVBUIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.5ixxvQP8iKatubaHSUwvN-K1Vxmlgnxr_FUzgW9h1So/image;s=1280x1024;q=80,https://www.imovirtual.com/pt/anuncio/apartamento-55-m-t1-ID13Yxz.html
Apartamento T1+1 novo no Canal de S. Roque,260 000 €,3 714 €/m²,70 m²,T1,1,,"Glória e Vera Cruz, Aveiro",Casa da Portela,15799232,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InNvejEyem12c2VodzEtRUNPU1lTVEVNIiwidyI6W3siZm4iOiI0amFmcGw5aDNmZ3QtQVBUIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.1fbXEqWP4h_hD_KcTeCp33dwTx0B778axwU3ewjdy3A/image;s=1280x1024;q=80,https://www.imovirtual.com/pt/anuncio/apartamento-t1-1-novo-no-canal-de-s-roque-ID14i6k.html
Apartamento T1+1 ultimo piso em construção Aveiro,260 000 €,4 727 €/m²,55 m²,T1,,Em construção,"Glória e Vera Cruz, Aveiro",Casaveiro Imobiliária,15663213,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InR2djJ6YTI0Y3A2cjMtRUNPU1lTVEVNIiwidyI6W3siZm4iOiI0amFmcGw5aDNmZ3QtQVBUIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.H0HkIIXwUBcd9WOgGF93RI-61aa8HFTlkoXU7GYCjuE/image;s=1280x1024;q=80,https://www.imovirtual.com/pt/anuncio/apartamento-t1-1-ultimo-piso-em-construcao-aveiro-ID13IIt.html
